model,condition,seed,class_id,action,support,clean_accuracy,accuracy
stgcn,clean,255,0,drink water,274,0.8759,0.8723
stgcn,clean,255,1,eat meal/snack,275,0.7394,0.7455
stgcn,clean,255,2,brushing teeth,273,0.8584,0.8571
stgcn,clean,255,3,brushing hair,273,0.9048,0.8974
stgcn,clean,255,4,drop,275,0.8315,0.8145
stgcn,clean,255,5,pickup,275,0.9527,0.9418
stgcn,clean,255,6,throw,275,0.9115,0.8982
stgcn,clean,255,7,sitting down,273,0.9658,0.9597
stgcn,clean,255,8,standing up (from sitting position),273,0.9805,0.9744
stgcn,clean,255,9,clapping,273,0.7827,0.7875
stgcn,clean,255,10,reading,273,0.6032,0.6044
stgcn,clean,255,11,writing,272,0.5245,0.5074
stgcn,clean,255,12,tear up paper,271,0.8954,0.9041
stgcn,clean,255,13,wear jacket,275,0.983,0.9855
stgcn,clean,255,14,take off jacket,276,0.9589,0.9638
stgcn,clean,255,15,wear a shoe,273,0.6545,0.6447
stgcn,clean,255,16,take off a shoe,274,0.7798,0.781
stgcn,clean,255,17,wear on glasses,273,0.906,0.9048
stgcn,clean,255,18,take off glasses,274,0.9343,0.9416
stgcn,clean,255,19,put on a hat/cap,272,0.9498,0.9485
stgcn,clean,255,20,take off a hat/cap,273,0.9731,0.9744
stgcn,clean,255,21,cheer up,274,0.9234,0.927
stgcn,clean,255,22,hand waving,274,0.9063,0.9161
stgcn,clean,255,23,kicking something,276,0.9372,0.942
stgcn,clean,255,24,reach into pocket,274,0.8358,0.8504
stgcn,clean,255,25,hopping (one foot jumping),275,0.9879,0.9891
stgcn,clean,255,26,jump up,276,0.9964,0.9964
stgcn,clean,255,27,make a phone call/answer phone,275,0.8679,0.8873
stgcn,clean,255,28,playing with phone/tablet,275,0.6824,0.68
stgcn,clean,255,29,typing on a keyboard,275,0.7515,0.7345
stgcn,clean,255,30,pointing to something with finger,276,0.7585,0.7717
stgcn,clean,255,31,taking a selfie,276,0.8925,0.9058
stgcn,clean,255,32,check time (from watch),276,0.8829,0.8986
stgcn,clean,255,33,rub two hands together,276,0.8829,0.9022
stgcn,clean,255,34,nod head/bow,276,0.965,0.971
stgcn,clean,255,35,shake head,275,0.9418,0.9418
stgcn,clean,255,36,wipe face,276,0.8321,0.8152
stgcn,clean,255,37,salute,276,0.9179,0.9275
stgcn,clean,255,38,put the palms together,276,0.9408,0.9348
stgcn,clean,255,39,cross hands in front (say stop),276,0.8998,0.913
stgcn,clean,255,40,sneeze/cough,276,0.7379,0.7536
stgcn,clean,255,41,staggering,276,0.9915,0.9928
stgcn,clean,255,42,falling,275,0.9855,0.9855
stgcn,clean,255,43,touch head (headache),276,0.7657,0.7464
