model,condition,class_id,action,support,clean_accuracy,mean_accuracy,std_accuracy,absolute_drop
stgcn,clean,0,drink water,274,0.8759,0.8759,0.0063,0.0
stgcn,clean,1,eat meal/snack,275,0.7394,0.7394,0.0105,0.0
stgcn,clean,2,brushing teeth,273,0.8584,0.8584,0.0092,0.0
stgcn,clean,3,brushing hair,273,0.9048,0.9048,0.0097,0.0
stgcn,clean,4,drop,275,0.8315,0.8315,0.0183,0.0
stgcn,clean,5,pickup,275,0.9527,0.9527,0.0096,0.0
stgcn,clean,6,throw,275,0.9115,0.9115,0.0117,0.0
stgcn,clean,7,sitting down,273,0.9658,0.9658,0.0056,0.0
stgcn,clean,8,standing up (from sitting position),273,0.9805,0.9805,0.0106,0.0
stgcn,clean,9,clapping,273,0.7827,0.7827,0.0153,0.0
stgcn,clean,10,reading,273,0.6032,0.6032,0.0129,0.0
stgcn,clean,11,writing,272,0.5245,0.5245,0.0236,0.0
stgcn,clean,12,tear up paper,271,0.8954,0.8954,0.0093,0.0
stgcn,clean,13,wear jacket,275,0.983,0.983,0.0021,0.0
stgcn,clean,14,take off jacket,276,0.9589,0.9589,0.0055,0.0
stgcn,clean,15,wear a shoe,273,0.6545,0.6545,0.0139,0.0
stgcn,clean,16,take off a shoe,274,0.7798,0.7798,0.0092,0.0
stgcn,clean,17,wear on glasses,273,0.906,0.906,0.0092,0.0
stgcn,clean,18,take off glasses,274,0.9343,0.9343,0.0126,0.0
stgcn,clean,19,put on a hat/cap,272,0.9498,0.9498,0.0056,0.0
stgcn,clean,20,take off a hat/cap,273,0.9731,0.9731,0.0056,0.0
stgcn,clean,21,cheer up,274,0.9234,0.9234,0.0097,0.0
stgcn,clean,22,hand waving,274,0.9063,0.9063,0.0111,0.0
stgcn,clean,23,kicking something,276,0.9372,0.9372,0.0116,0.0
stgcn,clean,24,reach into pocket,274,0.8358,0.8358,0.0132,0.0
stgcn,clean,25,hopping (one foot jumping),275,0.9879,0.9879,0.0021,0.0
stgcn,clean,26,jump up,276,0.9964,0.9964,0.0,0.0
stgcn,clean,27,make a phone call/answer phone,275,0.8679,0.8679,0.0183,0.0
stgcn,clean,28,playing with phone/tablet,275,0.6824,0.6824,0.0219,0.0
stgcn,clean,29,typing on a keyboard,275,0.7515,0.7515,0.0207,0.0
stgcn,clean,30,pointing to something with finger,276,0.7585,0.7585,0.0146,0.0
stgcn,clean,31,taking a selfie,276,0.8925,0.8925,0.0116,0.0
stgcn,clean,32,check time (from watch),276,0.8829,0.8829,0.0137,0.0
stgcn,clean,33,rub two hands together,276,0.8829,0.8829,0.0171,0.0
stgcn,clean,34,nod head/bow,276,0.965,0.965,0.0075,0.0
stgcn,clean,35,shake head,275,0.9418,0.9418,0.0,0.0
stgcn,clean,36,wipe face,276,0.8321,0.8321,0.0459,0.0
stgcn,clean,37,salute,276,0.9179,0.9179,0.0111,0.0
stgcn,clean,38,put the palms together,276,0.9408,0.9408,0.0105,0.0
stgcn,clean,39,cross hands in front (say stop),276,0.8998,0.8998,0.0171,0.0
stgcn,clean,40,sneeze/cough,276,0.7379,0.7379,0.0137,0.0
stgcn,clean,41,staggering,276,0.9915,0.9915,0.0091,0.0
stgcn,clean,42,falling,275,0.9855,0.9855,0.0,0.0
stgcn,clean,43,touch head (headache),276,0.7657,0.7657,0.0247,0.0
stgcn,clean,44,touch chest (stomachache/heart pain),276,0.9058,0.9058,0.0096,0.0
stgcn,clean,45,touch back (backache),276,0.9263,0.9263,0.0021,0.0
stgcn,clean,46,touch neck (neckache),276,0.8816,0.8816,0.0317,0.0
stgcn,clean,47,nausea or vomiting condition,275,0.8509,0.8509,0.0167,0.0
stgcn,clean,48,use a fan (with hand or paper)/feeling warm,275,0.9261,0.9261,0.0056,0.0
stgcn,clean,49,punching/slapping other person,274,0.8662,0.8662,0.0076,0.0
stgcn,clean,50,kicking other person,276,0.9167,0.9167,0.0109,0.0
stgcn,clean,51,pushing other person,276,0.971,0.971,0.0072,0.0
stgcn,clean,52,pat on back of other person,276,0.942,0.942,0.0096,0.0
stgcn,clean,53,point finger at the other person,276,0.907,0.907,0.0075,0.0
stgcn,clean,54,hugging other person,274,0.9757,0.9757,0.0056,0.0
stgcn,clean,55,giving something to other person,276,0.9348,0.9348,0.0096,0.0
stgcn,clean,56,touch other person's pocket,275,0.9285,0.9285,0.0076,0.0
stgcn,clean,57,handshaking,276,0.9517,0.9517,0.0111,0.0
stgcn,clean,58,walking towards each other,273,0.9939,0.9939,0.0021,0.0
stgcn,clean,59,walking apart from each other,276,0.9626,0.9626,0.0042,0.0
stgcn,joint_missing_mild,0,drink water,274,0.8759,0.708,0.0552,0.1679
stgcn,joint_missing_mild,1,eat meal/snack,275,0.7394,0.5236,0.0347,0.2158
stgcn,joint_missing_mild,2,brushing teeth,273,0.8584,0.4396,0.143,0.4188
stgcn,joint_missing_mild,3,brushing hair,273,0.9048,0.6313,0.0403,0.2735
stgcn,joint_missing_mild,4,drop,275,0.8315,0.4533,0.0751,0.3782
stgcn,joint_missing_mild,5,pickup,275,0.9527,0.8606,0.0526,0.0921
stgcn,joint_missing_mild,6,throw,275,0.9115,0.68,0.0073,0.2315
stgcn,joint_missing_mild,7,sitting down,273,0.9658,0.8864,0.0349,0.0794
stgcn,joint_missing_mild,8,standing up (from sitting position),273,0.9805,0.9377,0.0277,0.0427
stgcn,joint_missing_mild,9,clapping,273,0.7827,0.569,0.1081,0.2137
stgcn,joint_missing_mild,10,reading,273,0.6032,0.3516,0.169,0.2515
stgcn,joint_missing_mild,11,writing,272,0.5245,0.3762,0.0877,0.1483
stgcn,joint_missing_mild,12,tear up paper,271,0.8954,0.647,0.0279,0.2485
stgcn,joint_missing_mild,13,wear jacket,275,0.983,0.983,0.0076,0.0
stgcn,joint_missing_mild,14,take off jacket,276,0.9589,0.9118,0.0212,0.0471
stgcn,joint_missing_mild,15,wear a shoe,273,0.6545,0.4835,0.0832,0.1709
stgcn,joint_missing_mild,16,take off a shoe,274,0.7798,0.5268,0.0559,0.253
stgcn,joint_missing_mild,17,wear on glasses,273,0.906,0.7277,0.0461,0.1783
stgcn,joint_missing_mild,18,take off glasses,274,0.9343,0.7457,0.1036,0.1886
stgcn,joint_missing_mild,19,put on a hat/cap,272,0.9498,0.8211,0.0212,0.1287
stgcn,joint_missing_mild,20,take off a hat/cap,273,0.9731,0.8791,0.0422,0.094
stgcn,joint_missing_mild,21,cheer up,274,0.9234,0.7105,0.0329,0.2129
stgcn,joint_missing_mild,22,hand waving,274,0.9063,0.6788,0.0285,0.2275
stgcn,joint_missing_mild,23,kicking something,276,0.9372,0.4553,0.1624,0.4819
stgcn,joint_missing_mild,24,reach into pocket,274,0.8358,0.4623,0.1064,0.3735
stgcn,joint_missing_mild,25,hopping (one foot jumping),275,0.9879,0.8655,0.0347,0.1224
stgcn,joint_missing_mild,26,jump up,276,0.9964,0.9601,0.0096,0.0362
stgcn,joint_missing_mild,27,make a phone call/answer phone,275,0.8679,0.3139,0.0973,0.5539
stgcn,joint_missing_mild,28,playing with phone/tablet,275,0.6824,0.3333,0.1011,0.3491
stgcn,joint_missing_mild,29,typing on a keyboard,275,0.7515,0.7818,0.0536,-0.0303
stgcn,joint_missing_mild,30,pointing to something with finger,276,0.7585,0.4336,0.0732,0.3249
