model,condition,class_id,action,support,clean_accuracy,mean_accuracy,absolute_drop
stgcn,clean,0,drink water,274,0.8759,0.8759,0.0
stgcn,clean,1,eat meal/snack,275,0.7394,0.7394,0.0
stgcn,clean,2,brushing teeth,273,0.8584,0.8584,0.0
stgcn,clean,3,brushing hair,273,0.9048,0.9048,0.0
stgcn,clean,4,drop,275,0.8315,0.8315,0.0
stgcn,clean,5,pickup,275,0.9527,0.9527,0.0
stgcn,clean,6,throw,275,0.9115,0.9115,0.0
stgcn,clean,7,sitting down,273,0.9658,0.9658,0.0
stgcn,clean,8,standing up (from sitting position),273,0.9805,0.9805,0.0
stgcn,clean,9,clapping,273,0.7827,0.7827,0.0
stgcn,joint_missing_mild,58,walking towards each other,273,0.9939,0.3272,0.6667
stgcn,joint_missing_mild,41,staggering,276,0.9915,0.3261,0.6655
stgcn,joint_missing_mild,50,kicking other person,276,0.9167,0.2512,0.6655
stgcn,joint_missing_mild,27,make a phone call/answer phone,275,0.8679,0.3139,0.5539
stgcn,joint_missing_mild,57,handshaking,276,0.9517,0.4541,0.4976
stgcn,joint_missing_mild,23,kicking something,276,0.9372,0.4553,0.4819
stgcn,joint_missing_mild,46,touch neck (neckache),276,0.8816,0.4082,0.4734
stgcn,joint_missing_mild,38,put the palms together,276,0.9408,0.4964,0.4444
stgcn,joint_missing_mild,53,point finger at the other person,276,0.907,0.4662,0.4408
stgcn,joint_missing_mild,2,brushing teeth,273,0.8584,0.4396,0.4188
stgcn,limb_occlusion_mild,53,point finger at the other person,276,0.907,0.6848,0.2222
stgcn,limb_occlusion_mild,40,sneeze/cough,276,0.7379,0.5326,0.2053
stgcn,limb_occlusion_mild,32,check time (from watch),276,0.8829,0.6836,0.1993
stgcn,limb_occlusion_mild,2,brushing teeth,273,0.8584,0.6593,0.199
stgcn,limb_occlusion_mild,37,salute,276,0.9179,0.7319,0.186
stgcn,limb_occlusion_mild,36,wipe face,276,0.8321,0.6498,0.1824
stgcn,limb_occlusion_mild,20,take off a hat/cap,273,0.9731,0.8034,0.1697
stgcn,limb_occlusion_mild,30,pointing to something with finger,276,0.7585,0.5918,0.1667
stgcn,limb_occlusion_mild,47,nausea or vomiting condition,275,0.8509,0.6861,0.1648
stgcn,limb_occlusion_mild,34,nod head/bow,276,0.965,0.8007,0.1643
stgcn,coord_noise_mild,35,shake head,275,0.9418,0.217,0.7248
stgcn,coord_noise_mild,36,wipe face,276,0.8321,0.1413,0.6908
stgcn,coord_noise_mild,27,make a phone call/answer phone,275,0.8679,0.3273,0.5406
stgcn,coord_noise_mild,46,touch neck (neckache),276,0.8816,0.3454,0.5362
stgcn,coord_noise_mild,33,rub two hands together,276,0.8829,0.378,0.5048
stgcn,coord_noise_mild,28,playing with phone/tablet,275,0.6824,0.1806,0.5018
stgcn,coord_noise_mild,38,put the palms together,276,0.9408,0.4457,0.4952
stgcn,coord_noise_mild,3,brushing hair,273,0.9048,0.4591,0.4457
stgcn,coord_noise_mild,10,reading,273,0.6032,0.1832,0.42
stgcn,coord_noise_mild,43,touch head (headache),276,0.7657,0.3514,0.4143
stgcn,frame_missing_mild,53,point finger at the other person,276,0.907,0.7077,0.1993
stgcn,frame_missing_mild,11,writing,272,0.5245,0.3762,0.1483
stgcn,frame_missing_mild,15,wear a shoe,273,0.6545,0.5128,0.1416
stgcn,frame_missing_mild,24,reach into pocket,274,0.8358,0.708,0.1277
stgcn,frame_missing_mild,18,take off glasses,274,0.9343,0.8114,0.1229
stgcn,frame_missing_mild,17,wear on glasses,273,0.906,0.7875,0.1184
stgcn,frame_missing_mild,56,touch other person's pocket,275,0.9285,0.8145,0.1139
stgcn,frame_missing_mild,28,playing with phone/tablet,275,0.6824,0.5758,0.1067
stgcn,frame_missing_mild,27,make a phone call/answer phone,275,0.8679,0.7661,0.1018
stgcn,frame_missing_mild,2,brushing teeth,273,0.8584,0.7643,0.094
stgcn,mixed_mild,50,kicking other person,276,0.9167,0.2923,0.6244
stgcn,mixed_mild,35,shake head,275,0.9418,0.3588,0.583
stgcn,mixed_mild,27,make a phone call/answer phone,275,0.8679,0.2885,0.5794
stgcn,mixed_mild,41,staggering,276,0.9915,0.4263,0.5652
stgcn,mixed_mild,46,touch neck (neckache),276,0.8816,0.3454,0.5362
stgcn,mixed_mild,36,wipe face,276,0.8321,0.3007,0.5314
stgcn,mixed_mild,38,put the palms together,276,0.9408,0.4155,0.5254
stgcn,mixed_mild,23,kicking something,276,0.9372,0.4251,0.5121
stgcn,mixed_mild,2,brushing teeth,273,0.8584,0.3468,0.5116
stgcn,mixed_mild,57,handshaking,276,0.9517,0.4481,0.5036
stgcn,joint_missing_moderate,41,staggering,276,0.9915,0.0036,0.9879
stgcn,joint_missing_moderate,51,pushing other person,276,0.971,0.0121,0.9589
stgcn,joint_missing_moderate,42,falling,275,0.9855,0.0352,0.9503
stgcn,joint_missing_moderate,57,handshaking,276,0.9517,0.0097,0.942
stgcn,joint_missing_moderate,35,shake head,275,0.9418,0.0133,0.9285
stgcn,joint_missing_moderate,52,pat on back of other person,276,0.942,0.0145,0.9275
stgcn,joint_missing_moderate,55,giving something to other person,276,0.9348,0.0097,0.9251
stgcn,joint_missing_moderate,50,kicking other person,276,0.9167,0.0,0.9167
stgcn,joint_missing_moderate,7,sitting down,273,0.9658,0.0537,0.9121
stgcn,joint_missing_moderate,23,kicking something,276,0.9372,0.029,0.9082
stgcn,limb_occlusion_moderate,53,point finger at the other person,276,0.907,0.3792,0.5278
stgcn,limb_occlusion_moderate,32,check time (from watch),276,0.8829,0.4807,0.4022
stgcn,limb_occlusion_moderate,34,nod head/bow,276,0.965,0.5676,0.3973
stgcn,limb_occlusion_moderate,37,salute,276,0.9179,0.529,0.3889
stgcn,limb_occlusion_moderate,50,kicking other person,276,0.9167,0.5314,0.3853
stgcn,limb_occlusion_moderate,36,wipe face,276,0.8321,0.4553,0.3768
stgcn,limb_occlusion_moderate,20,take off a hat/cap,273,0.9731,0.6044,0.3687
stgcn,limb_occlusion_moderate,0,drink water,274,0.8759,0.5109,0.365
stgcn,limb_occlusion_moderate,2,brushing teeth,273,0.8584,0.4969,0.3614
stgcn,limb_occlusion_moderate,39,cross hands in front (say stop),276,0.8998,0.5495,0.3502
stgcn,coord_noise_moderate,51,pushing other person,276,0.971,0.0048,0.9662
stgcn,coord_noise_moderate,38,put the palms together,276,0.9408,0.0254,0.9155
stgcn,coord_noise_moderate,35,shake head,275,0.9418,0.0267,0.9152
stgcn,coord_noise_moderate,55,giving something to other person,276,0.9348,0.0242,0.9106
stgcn,coord_noise_moderate,41,staggering,276,0.9915,0.0833,0.9082
stgcn,coord_noise_moderate,3,brushing hair,273,0.9048,0.0147,0.8901
stgcn,coord_noise_moderate,50,kicking other person,276,0.9167,0.0266,0.8901
stgcn,coord_noise_moderate,25,hopping (one foot jumping),275,0.9879,0.103,0.8848
stgcn,coord_noise_moderate,46,touch neck (neckache),276,0.8816,0.0036,0.878
stgcn,coord_noise_moderate,0,drink water,274,0.8759,0.0061,0.8698
stgcn,frame_missing_moderate,28,playing with phone/tablet,275,0.6824,0.3624,0.32
stgcn,frame_missing_moderate,17,wear on glasses,273,0.906,0.5873,0.3187
stgcn,frame_missing_moderate,11,writing,272,0.5245,0.2145,0.31
stgcn,frame_missing_moderate,41,staggering,276,0.9915,0.7005,0.2911
stgcn,frame_missing_moderate,57,handshaking,276,0.9517,0.6715,0.2802
stgcn,frame_missing_moderate,15,wear a shoe,273,0.6545,0.3919,0.2625
stgcn,frame_missing_moderate,16,take off a shoe,274,0.7798,0.5243,0.2555
stgcn,frame_missing_moderate,18,take off glasses,274,0.9343,0.6861,0.2482
stgcn,frame_missing_moderate,53,point finger at the other person,276,0.907,0.6606,0.2464
stgcn,frame_missing_moderate,46,touch neck (neckache),276,0.8816,0.6558,0.2258
stgcn,mixed_moderate,41,staggering,276,0.9915,0.1667,0.8249
stgcn,mixed_moderate,35,shake head,275,0.9418,0.1382,0.8036
stgcn,mixed_moderate,51,pushing other person,276,0.971,0.1727,0.7983
stgcn,mixed_moderate,38,put the palms together,276,0.9408,0.1461,0.7947
stgcn,mixed_moderate,50,kicking other person,276,0.9167,0.1377,0.779
stgcn,mixed_moderate,57,handshaking,276,0.9517,0.1751,0.7766
stgcn,mixed_moderate,2,brushing teeth,273,0.8584,0.0977,0.7607
stgcn,mixed_moderate,46,touch neck (neckache),276,0.8816,0.122,0.7597
stgcn,mixed_moderate,23,kicking something,276,0.9372,0.18,0.7572
stgcn,mixed_moderate,37,salute,276,0.9179,0.163,0.7548
stgcn,joint_missing_severe,41,staggering,276,0.9915,0.0012,0.9903
stgcn,joint_missing_severe,26,jump up,276,0.9964,0.0085,0.9879
stgcn,joint_missing_severe,25,hopping (one foot jumping),275,0.9879,0.0,0.9879
stgcn,joint_missing_severe,42,falling,275,0.9855,0.0,0.9855
stgcn,joint_missing_severe,51,pushing other person,276,0.971,0.0024,0.9686
stgcn,joint_missing_severe,7,sitting down,273,0.9658,0.0,0.9658
stgcn,joint_missing_severe,34,nod head/bow,276,0.965,0.0036,0.9614
stgcn,joint_missing_severe,54,hugging other person,274,0.9757,0.0146,0.9611
stgcn,joint_missing_severe,8,standing up (from sitting position),273,0.9805,0.0195,0.9609
stgcn,joint_missing_severe,58,walking towards each other,273,0.9939,0.0403,0.9536
stgcn,limb_occlusion_severe,53,point finger at the other person,276,0.907,0.1087,0.7983
stgcn,limb_occlusion_severe,50,kicking other person,276,0.9167,0.1763,0.7403
stgcn,limb_occlusion_severe,52,pat on back of other person,276,0.942,0.3031,0.6389
stgcn,limb_occlusion_severe,34,nod head/bow,276,0.965,0.3635,0.6014
stgcn,limb_occlusion_severe,54,hugging other person,274,0.9757,0.3796,0.5961
stgcn,limb_occlusion_severe,20,take off a hat/cap,273,0.9731,0.3773,0.5958
stgcn,limb_occlusion_severe,8,standing up (from sitting position),273,0.9805,0.3993,0.5812
stgcn,limb_occlusion_severe,31,taking a selfie,276,0.8925,0.3237,0.5688
stgcn,limb_occlusion_severe,39,cross hands in front (say stop),276,0.8998,0.3309,0.5688
stgcn,limb_occlusion_severe,6,throw,275,0.9115,0.3467,0.5648
stgcn,coord_noise_severe,26,jump up,276,0.9964,0.0,0.9964
stgcn,coord_noise_severe,41,staggering,276,0.9915,0.0,0.9915
stgcn,coord_noise_severe,25,hopping (one foot jumping),275,0.9879,0.0,0.9879
stgcn,coord_noise_severe,51,pushing other person,276,0.971,0.0,0.971
stgcn,coord_noise_severe,20,take off a hat/cap,273,0.9731,0.0085,0.9646
stgcn,coord_noise_severe,34,nod head/bow,276,0.965,0.0024,0.9626
stgcn,coord_noise_severe,14,take off jacket,276,0.9589,0.006,0.9529
stgcn,coord_noise_severe,57,handshaking,276,0.9517,0.0,0.9517
stgcn,coord_noise_severe,19,put on a hat/cap,272,0.9498,0.0,0.9498
stgcn,coord_noise_severe,38,put the palms together,276,0.9408,0.0,0.9408
stgcn,frame_missing_severe,38,put the palms together,276,0.9408,0.4094,0.5314
stgcn,frame_missing_severe,35,shake head,275,0.9418,0.4267,0.5152
stgcn,frame_missing_severe,18,take off glasses,274,0.9343,0.4221,0.5122
stgcn,frame_missing_severe,53,point finger at the other person,276,0.907,0.4251,0.4819
stgcn,frame_missing_severe,51,pushing other person,276,0.971,0.5085,0.4626
stgcn,frame_missing_severe,17,wear on glasses,273,0.906,0.4505,0.4554
stgcn,frame_missing_severe,41,staggering,276,0.9915,0.5386,0.4529
stgcn,frame_missing_severe,28,playing with phone/tablet,275,0.6824,0.2364,0.4461
stgcn,frame_missing_severe,57,handshaking,276,0.9517,0.506,0.4457
stgcn,frame_missing_severe,39,cross hands in front (say stop),276,0.8998,0.4614,0.4384
stgcn,mixed_severe,41,staggering,276,0.9915,0.1075,0.8841
stgcn,mixed_severe,51,pushing other person,276,0.971,0.0882,0.8829
stgcn,mixed_severe,38,put the palms together,276,0.9408,0.0688,0.872
stgcn,mixed_severe,35,shake head,275,0.9418,0.0812,0.8606
stgcn,mixed_severe,53,point finger at the other person,276,0.907,0.058,0.849
stgcn,mixed_severe,42,falling,275,0.9855,0.1418,0.8436
stgcn,mixed_severe,50,kicking other person,276,0.9167,0.0749,0.8418
stgcn,mixed_severe,18,take off glasses,274,0.9343,0.0937,0.8406
stgcn,mixed_severe,7,sitting down,273,0.9658,0.1294,0.8364
stgcn,mixed_severe,23,kicking something,276,0.9372,0.1051,0.8321
stgcnpp,clean,0,drink water,274,0.8637,0.8637,0.0
stgcnpp,clean,1,eat meal/snack,275,0.7382,0.7382,0.0
stgcnpp,clean,2,brushing teeth,273,0.8694,0.8694,0.0
stgcnpp,clean,3,brushing hair,273,0.9267,0.9267,0.0
stgcnpp,clean,4,drop,275,0.8848,0.8848,0.0
stgcnpp,clean,5,pickup,275,0.9576,0.9576,0.0
stgcnpp,clean,6,throw,275,0.9115,0.9115,0.0
stgcnpp,clean,7,sitting down,273,0.9707,0.9707,0.0
stgcnpp,clean,8,standing up (from sitting position),273,0.9792,0.9792,0.0
stgcnpp,clean,9,clapping,273,0.812,0.812,0.0
stgcnpp,joint_missing_mild,58,walking towards each other,273,0.9951,0.3773,0.6178
stgcnpp,joint_missing_mild,35,shake head,275,0.9467,0.3552,0.5915
stgcnpp,joint_missing_mild,50,kicking other person,276,0.936,0.3877,0.5483
stgcnpp,joint_missing_mild,49,punching/slapping other person,274,0.9027,0.4392,0.4635
stgcnpp,joint_missing_mild,53,point finger at the other person,276,0.9058,0.4457,0.4601
stgcnpp,joint_missing_mild,51,pushing other person,276,0.9601,0.5157,0.4444
stgcnpp,joint_missing_mild,41,staggering,276,0.9952,0.5833,0.4118
stgcnpp,joint_missing_mild,46,touch neck (neckache),276,0.843,0.4457,0.3973
stgcnpp,joint_missing_mild,45,touch back (backache),276,0.9312,0.593,0.3382
stgcnpp,joint_missing_mild,57,handshaking,276,0.9577,0.6304,0.3273
stgcnpp,limb_occlusion_mild,53,point finger at the other person,276,0.9058,0.6135,0.2923
stgcnpp,limb_occlusion_mild,39,cross hands in front (say stop),276,0.936,0.663,0.2729
stgcnpp,limb_occlusion_mild,47,nausea or vomiting condition,275,0.8448,0.5879,0.257
stgcnpp,limb_occlusion_mild,40,sneeze/cough,276,0.7633,0.5483,0.215
stgcnpp,limb_occlusion_mild,58,walking towards each other,273,0.9951,0.7888,0.2063
stgcnpp,limb_occlusion_mild,37,salute,276,0.9275,0.7295,0.1981
stgcnpp,limb_occlusion_mild,43,touch head (headache),276,0.8164,0.6196,0.1969
stgcnpp,limb_occlusion_mild,2,brushing teeth,273,0.8694,0.6728,0.1966
stgcnpp,limb_occlusion_mild,36,wipe face,276,0.8829,0.6872,0.1957
stgcnpp,limb_occlusion_mild,34,nod head/bow,276,0.9674,0.7742,0.1932
stgcnpp,coord_noise_mild,35,shake head,275,0.9467,0.1018,0.8448
stgcnpp,coord_noise_mild,36,wipe face,276,0.8829,0.1425,0.7403
stgcnpp,coord_noise_mild,51,pushing other person,276,0.9601,0.337,0.6232
stgcnpp,coord_noise_mild,45,touch back (backache),276,0.9312,0.3792,0.5519
stgcnpp,coord_noise_mild,28,playing with phone/tablet,275,0.7321,0.2424,0.4897
stgcnpp,coord_noise_mild,33,rub two hands together,276,0.8913,0.4155,0.4758
stgcnpp,coord_noise_mild,43,touch head (headache),276,0.8164,0.3599,0.4565
stgcnpp,coord_noise_mild,10,reading,273,0.5873,0.138,0.4493
stgcnpp,coord_noise_mild,46,touch neck (neckache),276,0.843,0.401,0.442
stgcnpp,coord_noise_mild,12,tear up paper,271,0.9139,0.4982,0.4157
stgcnpp,frame_missing_mild,15,wear a shoe,273,0.7131,0.5287,0.1844
stgcnpp,frame_missing_mild,27,make a phone call/answer phone,275,0.8933,0.7176,0.1758
stgcnpp,frame_missing_mild,24,reach into pocket,274,0.8285,0.719,0.1095
stgcnpp,frame_missing_mild,46,touch neck (neckache),276,0.843,0.7379,0.1051
stgcnpp,frame_missing_mild,53,point finger at the other person,276,0.9058,0.8213,0.0845
stgcnpp,frame_missing_mild,49,punching/slapping other person,274,0.9027,0.8187,0.0839
stgcnpp,frame_missing_mild,16,take off a shoe,274,0.7798,0.6983,0.0815
stgcnpp,frame_missing_mild,18,take off glasses,274,0.9526,0.8759,0.0766
stgcnpp,frame_missing_mild,36,wipe face,276,0.8829,0.8068,0.0761
stgcnpp,frame_missing_mild,11,writing,272,0.5907,0.5172,0.0735
stgcnpp,mixed_mild,35,shake head,275,0.9467,0.2776,0.6691
stgcnpp,mixed_mild,51,pushing other person,276,0.9601,0.337,0.6232
stgcnpp,mixed_mild,41,staggering,276,0.9952,0.413,0.5821
stgcnpp,mixed_mild,58,walking towards each other,273,0.9951,0.4139,0.5812
stgcnpp,mixed_mild,50,kicking other person,276,0.936,0.3623,0.5737
stgcnpp,mixed_mild,53,point finger at the other person,276,0.9058,0.3382,0.5676
stgcnpp,mixed_mild,49,punching/slapping other person,274,0.9027,0.3467,0.556
stgcnpp,mixed_mild,36,wipe face,276,0.8829,0.337,0.5459
stgcnpp,mixed_mild,57,handshaking,276,0.9577,0.4432,0.5145
