model,condition,seed,top1,mean_class_accuracy
stgcn,clean,255,88.68,88.66
stgcn,clean,2026,88.19,88.18
stgcn,clean,3407,88.62,88.6
stgcn,joint_missing_mild,255,65.59,65.59
stgcn,joint_missing_mild,2026,58.05,58.07
stgcn,joint_missing_mild,3407,63.16,63.16
stgcn,limb_occlusion_mild,255,77.3,77.29
stgcn,limb_occlusion_mild,2026,76.57,76.56
stgcn,limb_occlusion_mild,3407,76.85,76.84
stgcn,coord_noise_mild,255,69.08,69.09
stgcn,coord_noise_mild,2026,64.27,64.27
stgcn,coord_noise_mild,3407,63.63,63.62
stgcn,frame_missing_mild,255,83.48,83.47
stgcn,frame_missing_mild,2026,83.12,83.11
stgcn,frame_missing_mild,3407,83.2,83.19
stgcn,mixed_mild,255,56.32,56.32
stgcn,mixed_mild,2026,51.85,51.86
stgcn,mixed_mild,3407,53.07,53.06
stgcn,joint_missing_moderate,255,17.58,17.59
stgcn,joint_missing_moderate,2026,13.65,13.65
stgcn,joint_missing_moderate,3407,13.08,13.08
stgcn,limb_occlusion_moderate,255,62.78,62.77
stgcn,limb_occlusion_moderate,2026,61.17,61.17
stgcn,limb_occlusion_moderate,3407,61.18,61.18
stgcn,coord_noise_moderate,255,23.81,23.82
stgcn,coord_noise_moderate,2026,22.4,22.41
stgcn,coord_noise_moderate,3407,26.46,26.46
stgcn,frame_missing_moderate,255,75.18,75.17
stgcn,frame_missing_moderate,2026,74.05,74.03
stgcn,frame_missing_moderate,3407,74.76,74.74
stgcn,mixed_moderate,255,24.38,24.38
stgcn,mixed_moderate,2026,22.51,22.51
stgcn,mixed_moderate,3407,22.87,22.86
stgcn,joint_missing_severe,255,4.6,4.61
stgcn,joint_missing_severe,2026,3.55,3.55
stgcn,joint_missing_severe,3407,3.82,3.81
stgcn,limb_occlusion_severe,255,43.54,43.53
stgcn,limb_occlusion_severe,2026,41.58,41.59
stgcn,limb_occlusion_severe,3407,41.37,41.37
stgcn,coord_noise_severe,255,5.52,5.53
stgcn,coord_noise_severe,2026,4.0,4.02
stgcn,coord_noise_severe,3407,6.91,6.92
stgcn,frame_missing_severe,255,61.15,61.14
stgcn,frame_missing_severe,2026,60.98,60.98
stgcn,frame_missing_severe,3407,59.06,59.06
stgcn,mixed_severe,255,13.84,13.84
stgcn,mixed_severe,2026,12.91,12.92
stgcn,mixed_severe,3407,13.22,13.22
stgcnpp,clean,255,89.54,89.52
stgcnpp,clean,2026,89.45,89.44
stgcnpp,clean,3407,89.73,89.72
stgcnpp,joint_missing_mild,255,68.43,68.43
stgcnpp,joint_missing_mild,2026,71.18,71.19
stgcnpp,joint_missing_mild,3407,71.61,71.62
stgcnpp,limb_occlusion_mild,255,76.18,76.16
stgcnpp,limb_occlusion_mild,2026,76.45,76.45
stgcnpp,limb_occlusion_mild,3407,76.54,76.54
stgcnpp,coord_noise_mild,255,68.5,68.49
stgcnpp,coord_noise_mild,2026,58.52,58.51
stgcnpp,coord_noise_mild,3407,64.57,64.57
stgcnpp,frame_missing_mild,255,85.58,85.56
stgcnpp,frame_missing_mild,2026,85.67,85.66
stgcnpp,frame_missing_mild,3407,85.49,85.47
stgcnpp,mixed_mild,255,53.57,53.57
stgcnpp,mixed_mild,2026,52.88,52.89
stgcnpp,mixed_mild,3407,55.18,55.19
stgcnpp,joint_missing_moderate,255,16.2,16.21
stgcnpp,joint_missing_moderate,2026,22.93,22.93
stgcnpp,joint_missing_moderate,3407,25.24,25.26
stgcnpp,limb_occlusion_moderate,255,57.89,57.89
stgcnpp,limb_occlusion_moderate,2026,58.21,58.21
stgcnpp,limb_occlusion_moderate,3407,59.05,59.06
stgcnpp,coord_noise_moderate,255,17.72,17.73
stgcnpp,coord_noise_moderate,2026,16.87,16.86
stgcnpp,coord_noise_moderate,3407,15.56,15.57
stgcnpp,frame_missing_moderate,255,77.9,77.89
stgcnpp,frame_missing_moderate,2026,78.1,78.08
stgcnpp,frame_missing_moderate,3407,77.75,77.73
stgcnpp,mixed_moderate,255,21.64,21.64
stgcnpp,mixed_moderate,2026,22.24,22.23
stgcnpp,mixed_moderate,3407,22.18,22.19
stgcnpp,joint_missing_severe,255,6.81,6.81
stgcnpp,joint_missing_severe,2026,7.53,7.52
stgcnpp,joint_missing_severe,3407,5.26,5.26
stgcnpp,limb_occlusion_severe,255,34.18,34.19
stgcnpp,limb_occlusion_severe,2026,35.8,35.8
stgcnpp,limb_occlusion_severe,3407,37.45,37.46
stgcnpp,coord_noise_severe,255,6.22,6.23
stgcnpp,coord_noise_severe,2026,6.08,6.08
stgcnpp,coord_noise_severe,3407,5.2,5.22
stgcnpp,frame_missing_severe,255,65.81,65.8
stgcnpp,frame_missing_severe,2026,66.02,66.02
stgcnpp,frame_missing_severe,3407,64.67,64.66
stgcnpp,mixed_severe,255,12.62,12.62
stgcnpp,mixed_severe,2026,13.2,13.2
stgcnpp,mixed_severe,3407,12.5,12.51
ctrgcn,clean,255,90.26,90.25
ctrgcn,clean,2026,89.95,89.94
ctrgcn,clean,3407,89.71,89.71
ctrgcn,joint_missing_mild,255,72.44,72.45
ctrgcn,joint_missing_mild,2026,68.07,68.08
ctrgcn,joint_missing_mild,3407,72.54,72.54
ctrgcn,limb_occlusion_mild,255,78.47,78.46
ctrgcn,limb_occlusion_mild,2026,77.89,77.89
ctrgcn,limb_occlusion_mild,3407,77.35,77.35
ctrgcn,coord_noise_mild,255,68.48,68.47
ctrgcn,coord_noise_mild,2026,69.34,69.33
ctrgcn,coord_noise_mild,3407,70.9,70.91
ctrgcn,frame_missing_mild,255,84.67,84.66
ctrgcn,frame_missing_mild,2026,84.59,84.58
ctrgcn,frame_missing_mild,3407,83.69,83.67
ctrgcn,mixed_mild,255,55.9,55.9
ctrgcn,mixed_mild,2026,55.44,55.44
ctrgcn,mixed_mild,3407,56.9,56.9
ctrgcn,joint_missing_moderate,255,17.95,17.95
ctrgcn,joint_missing_moderate,2026,20.4,20.39
ctrgcn,joint_missing_moderate,3407,28.2,28.21
ctrgcn,limb_occlusion_moderate,255,60.33,60.33
ctrgcn,limb_occlusion_moderate,2026,58.59,58.58
ctrgcn,limb_occlusion_moderate,3407,59.21,59.21
ctrgcn,coord_noise_moderate,255,28.67,28.66
ctrgcn,coord_noise_moderate,2026,24.81,24.8
ctrgcn,coord_noise_moderate,3407,28.39,28.4
ctrgcn,frame_missing_moderate,255,72.74,72.73
ctrgcn,frame_missing_moderate,2026,73.83,73.82
ctrgcn,frame_missing_moderate,3407,71.24,71.22
ctrgcn,mixed_moderate,255,21.73,21.73
ctrgcn,mixed_moderate,2026,21.49,21.48
ctrgcn,mixed_moderate,3407,22.65,22.65
ctrgcn,joint_missing_severe,255,3.89,3.9
ctrgcn,joint_missing_severe,2026,4.67,4.67
ctrgcn,joint_missing_severe,3407,9.08,9.07
ctrgcn,limb_occlusion_severe,255,36.28,36.28
ctrgcn,limb_occlusion_severe,2026,34.3,34.3
ctrgcn,limb_occlusion_severe,3407,35.93,35.92
ctrgcn,coord_noise_severe,255,3.47,3.46
ctrgcn,coord_noise_severe,2026,3.88,3.88
ctrgcn,coord_noise_severe,3407,4.39,4.39
