model,condition,top1_mean,top1_std,top1_min,top1_max,mean_class_accuracy_mean,n_seeds
stgcn,clean,88.49,0.26,88.19,88.68,88.48,3
stgcn,joint_missing_mild,62.27,3.85,58.05,65.59,62.27,3
stgcn,limb_occlusion_mild,76.91,0.37,76.57,77.3,76.9,3
stgcn,coord_noise_mild,65.66,2.98,63.63,69.08,65.66,3
stgcn,frame_missing_mild,83.27,0.19,83.12,83.48,83.26,3
stgcn,mixed_mild,53.74,2.31,51.85,56.32,53.75,3
stgcn,joint_missing_moderate,14.77,2.45,13.08,17.58,14.77,3
stgcn,limb_occlusion_moderate,61.71,0.92,61.17,62.78,61.7,3
stgcn,coord_noise_moderate,24.22,2.06,22.4,26.46,24.23,3
stgcn,frame_missing_moderate,74.66,0.57,74.05,75.18,74.65,3
stgcn,mixed_moderate,23.25,0.99,22.51,24.38,23.25,3
stgcn,joint_missing_severe,3.99,0.55,3.55,4.6,3.99,3
stgcn,limb_occlusion_severe,42.16,1.2,41.37,43.54,42.16,3
stgcn,coord_noise_severe,5.48,1.46,4.0,6.91,5.49,3
stgcn,frame_missing_severe,60.4,1.16,59.06,61.15,60.39,3
stgcn,mixed_severe,13.32,0.47,12.91,13.84,13.33,3
stgcnpp,clean,89.57,0.15,89.45,89.73,89.56,3
stgcnpp,joint_missing_mild,70.41,1.73,68.43,71.61,70.41,3
stgcnpp,limb_occlusion_mild,76.39,0.19,76.18,76.54,76.38,3
stgcnpp,coord_noise_mild,63.87,5.03,58.52,68.5,63.86,3
stgcnpp,frame_missing_mild,85.58,0.09,85.49,85.67,85.57,3
stgcnpp,mixed_mild,53.88,1.18,52.88,55.18,53.88,3
stgcnpp,joint_missing_moderate,21.46,4.7,16.2,25.24,21.47,3
stgcnpp,limb_occlusion_moderate,58.39,0.6,57.89,59.05,58.38,3
stgcnpp,coord_noise_moderate,16.72,1.08,15.56,17.72,16.72,3
stgcnpp,frame_missing_moderate,77.92,0.18,77.75,78.1,77.9,3
stgcnpp,mixed_moderate,22.02,0.33,21.64,22.24,22.02,3
stgcnpp,joint_missing_severe,6.53,1.16,5.26,7.53,6.53,3
stgcnpp,limb_occlusion_severe,35.81,1.63,34.18,37.45,35.82,3
stgcnpp,coord_noise_severe,5.83,0.55,5.2,6.22,5.84,3
stgcnpp,frame_missing_severe,65.5,0.73,64.67,66.02,65.49,3
stgcnpp,mixed_severe,12.77,0.37,12.5,13.2,12.77,3
ctrgcn,clean,89.97,0.27,89.71,90.26,89.97,3
ctrgcn,joint_missing_mild,71.02,2.55,68.07,72.54,71.02,3
ctrgcn,limb_occlusion_mild,77.9,0.56,77.35,78.47,77.9,3
ctrgcn,coord_noise_mild,69.57,1.23,68.48,70.9,69.57,3
ctrgcn,frame_missing_mild,84.32,0.55,83.69,84.67,84.31,3
ctrgcn,mixed_mild,56.08,0.75,55.44,56.9,56.08,3
ctrgcn,joint_missing_moderate,22.19,5.35,17.95,28.2,22.18,3
ctrgcn,limb_occlusion_moderate,59.38,0.88,58.59,60.33,59.37,3
ctrgcn,coord_noise_moderate,27.29,2.15,24.81,28.67,27.28,3
ctrgcn,frame_missing_moderate,72.61,1.3,71.24,73.83,72.59,3
ctrgcn,mixed_moderate,21.96,0.61,21.49,22.65,21.96,3
ctrgcn,joint_missing_severe,5.88,2.8,3.89,9.08,5.88,3
ctrgcn,limb_occlusion_severe,35.5,1.05,34.3,36.28,35.5,3
ctrgcn,coord_noise_severe,3.91,0.46,3.47,4.39,3.91,3
ctrgcn,frame_missing_severe,55.31,2.78,53.42,58.51,55.3,3
ctrgcn,mixed_severe,11.25,0.16,11.07,11.35,11.25,3
